Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2014-06-05,1941.74,1940.46,1922.93,1928.52,
2014-06-06,1949.44,1949.44,1942.41,1942.41,
2014-06-09,1955.55,1951.27,1947.16,1948.97,
2014-06-10,1950.86,1950.79,1944.64,1950.34,
2014-06-11,1949.37,1943.89,1940.08,1949.37,
2014-06-12,1943.35,1930.11,1925.78,1943.35,
2014-06-13,1937.3,1936.16,1927.69,1930.8,
2014-06-16,1941.15,1937.78,1930.91,1934.84,
2014-06-17,1943.69,1941.99,1933.55,1937.15,
2014-06-18,1957.74,1956.98,1939.29,1942.73,
2014-06-19,1959.87,1959.48,1952.26,1957.5,
2014-06-20,1963.91,1962.87,1959.17,1960.45,
2014-06-23,1963.74,1962.61,1958.89,1962.92,
2014-06-24,1968.17,1949.98,1948.34,1961.97,
2014-06-25,1960.83,1959.53,1947.49,1949.27,
2014-06-26,1959.89,1957.22,1944.69,1959.89,
2014-06-27,1961.47,1960.96,1952.18,1956.56,
2014-06-30,1964.24,1960.23,1958.22,1960.79,
2014-07-01,1978.58,1973.32,1962.29,1962.29,
2014-07-02,1976.67,1974.62,1972.58,1973.06,
2014-07-03,1985.59,1985.44,1975.88,1975.88,
2014-07-07,1984.22,1977.65,1974.88,1984.22,
2014-07-08,1976.39,1963.71,1959.46,1976.39,
2014-07-09,1974.15,1972.83,1965.1,1965.1,
2014-07-10,1969.84,1964.68,1952.86,1966.67,
2014-07-11,1968.67,1967.57,1959.63,1965.76,
2014-07-14,1979.85,1977.1,1969.86,1969.86,
2014-07-15,1982.52,1973.28,1965.34,1977.36,
2014-07-16,1983.94,1981.57,1975.67,1976.35,
2014-07-17,1981.8,1958.12,1955.59,1979.75,
2014-07-18,1979.91,1978.22,1960.82,1961.54,
2014-07-21,1976.93,1973.63,1965.77,1976.93,
2014-07-22,1986.24,1983.53,1975.65,1975.65,
2014-07-23,1989.23,1987.01,1982.44,1985.32,
2014-07-24,1991.39,1987.98,1985.79,1988.07,
2014-07-25,1984.6,1978.34,1974.37,1984.6,
2014-07-28,1981.52,1978.91,1967.31,1978.25,
2014-07-29,1984.85,1969.95,1969.95,1980.03,
2014-07-30,1978.9,1970.07,1962.42,1973.21,
2014-07-31,1965.14,1930.67,1930.67,1965.14,
2014-08-01,1937.35,1925.15,1916.37,1929.8,
2014-08-04,1942.92,1938.99,1921.2,1926.62,
2014-08-05,1936.34,1920.21,1913.77,1936.34,
2014-08-06,1927.91,1920.24,1911.45,1917.29,
2014-08-07,1928.89,1909.57,1904.78,1923.03,
2014-08-08,1932.38,1931.59,1909.01,1910.35,
2014-08-11,1944.9,1936.92,1933.43,1933.43,
2014-08-12,1939.65,1933.75,1928.29,1935.73,
2014-08-13,1948.41,1946.72,1935.6,1935.6,
2014-08-14,1955.23,1955.18,1947.41,1947.41,
2014-08-15,1964.04,1955.06,1941.5,1958.87,
2014-08-18,1971.99,1971.74,1958.36,1958.36,
2014-08-19,1982.57,1981.6,1972.73,1972.73,
2014-08-20,1988.57,1986.51,1977.68,1980.46,
2014-08-21,1994.76,1992.37,1986.82,1986.82,
2014-08-22,1993.54,1988.4,1984.76,1992.6,
2014-08-25,2001.95,1997.92,1991.74,1991.74,
2014-08-26,2005.04,2000.02,1998.59,1998.59,
2014-08-27,2002.14,2000.12,1996.2,2000.54,
2014-08-28,1998.55,1996.74,1990.52,1997.42,
2014-08-29,2003.38,2003.37,1994.65,1998.45,
2014-09-02,2006.12,2002.28,1994.85,2004.07,
2014-09-03,2009.28,2000.72,1998.14,2003.57,
2014-09-04,2011.17,1997.65,1992.54,2001.67,
2014-09-05,2007.71,2007.71,1990.1,1998.0,
2014-09-08,2007.17,2001.54,1995.6,2007.17,
2014-09-09,2001.01,1988.44,1984.61,2000.73,
2014-09-10,1996.66,1995.69,1982.99,1988.41,
2014-09-11,1997.65,1997.45,1985.93,1992.85,
2014-09-12,1996.74,1985.54,1980.26,1996.74,
2014-09-15,1987.18,1984.13,1978.48,1986.04,
2014-09-16,2002.28,1998.98,1979.06,1981.93,
2014-09-17,2010.74,2001.57,1993.29,1999.3,
2014-09-18,2012.34,2011.36,2003.07,2003.07,
2014-09-19,2019.26,2010.4,2006.59,2012.74,
2014-09-22,2009.08,1994.29,1991.01,2009.08,
2014-09-23,1995.41,1982.77,1982.77,1992.78,
2014-09-24,1999.79,1998.3,1978.63,1983.34,
2014-09-25,1997.32,1965.99,1965.99,1997.32,
2014-09-26,1986.37,1982.85,1966.22,1966.22,
2014-09-29,1981.28,1977.8,1964.04,1978.96,
2014-09-30,1985.17,1972.29,1968.96,1978.21,
2014-10-01,1971.44,1946.16,1941.72,1971.44,
2014-10-02,1952.32,1946.17,1926.03,1945.83,
2014-10-03,1971.19,1967.9,1948.12,1948.12,
2014-10-06,1977.84,1964.82,1958.43,1970.01,
2014-10-07,1962.36,1935.1,1934.87,1962.36,
2014-10-08,1970.36,1968.89,1925.25,1935.55,
2014-10-09,1967.68,1928.21,1927.56,1967.68,
2014-10-10,1936.98,1906.13,1906.05,1925.63,
2014-10-13,1912.09,1874.74,1874.14,1905.65,
2014-10-14,1898.71,1877.7,1871.79,1877.11,
2014-10-15,1874.18,1862.49,1820.66,1874.18,
2014-10-16,1876.01,1862.76,1835.02,1855.95,
2014-10-17,1898.16,1886.76,1864.91,1864.91,
2014-10-20,1905.03,1904.01,1882.3,1885.62,
2014-10-21,1942.45,1941.28,1909.38,1909.38,
2014-10-22,1949.31,1927.11,1926.83,1941.29,
2014-10-23,1961.95,1950.82,1931.02,1931.02,
2014-10-24,1965.27,1964.58,1946.27,1951.59,
2014-10-27,1964.64,1961.63,1951.37,1962.97,
2014-10-28,1985.05,1985.05,1964.14,1964.14,
2014-10-29,1991.4,1982.3,1969.04,1983.29,
2014-10-30,1999.4,1994.65,1974.75,1979.49,
2014-10-31,2018.19,2018.05,2001.2,2001.2,
2014-11-03,2024.46,2017.81,2013.68,2018.21,
2014-11-04,2015.98,2012.1,2001.01,2015.81,
2014-11-05,2023.77,2023.57,2014.42,2015.29,
2014-11-06,2031.61,2031.21,2015.86,2023.33,
2014-11-07,2034.26,2031.92,2025.07,2032.36,
2014-11-10,2038.7,2038.26,2030.17,2032.01,
2014-11-11,2041.28,2039.68,2035.28,2038.2,
2014-11-12,2040.33,2038.25,2031.95,2037.75,
2014-11-13,2046.18,2039.33,2030.44,2039.21,
2014-11-14,2042.22,2039.82,2035.2,2039.74,
2014-11-17,2043.07,2041.32,2034.46,2038.29,
2014-11-18,2056.08,2051.8,2041.48,2041.48,
2014-11-19,2052.14,2048.72,2040.37,2051.16,
2014-11-20,2053.84,2052.75,2040.49,2045.87,
2014-11-21,2071.46,2063.5,2056.75,2057.46,
2014-11-24,2070.17,2069.41,2065.07,2065.07,
2014-11-25,2074.21,2067.03,2064.75,2070.15,
2014-11-26,2073.29,2072.83,2066.62,2067.36,
2014-11-28,2075.76,2067.56,2065.06,2074.78,
2014-12-01,2065.78,2053.44,2049.57,2065.78,
2014-12-02,2068.77,2066.55,2053.77,2053.77,
2014-12-03,2076.28,2074.33,2066.65,2067.45,
2014-12-04,2077.34,2071.92,2062.34,2073.64,
2014-12-05,2079.47,2075.37,2070.81,2072.78,
2014-12-08,2075.78,2060.31,2054.27,2074.84,
2014-12-09,2060.6,2059.82,2034.17,2056.55,
2014-12-10,2058.86,2026.14,2024.26,2058.86,
2014-12-11,2055.53,2035.33,2027.92,2027.92,
2014-12-12,2032.25,2002.33,2002.33,2030.36,
2014-12-15,2018.69,1989.63,1982.26,2005.03,
2014-12-16,2016.89,1972.74,1972.56,1986.71,
2014-12-17,2016.75,2012.89,1973.77,1973.77,
2014-12-18,2061.23,2061.23,2018.98,2018.98,
2014-12-19,2077.85,2070.65,2061.03,2061.04,
2014-12-22,2078.76,2078.54,2069.28,2069.28,
2014-12-23,2086.73,2082.17,2079.77,2081.48,
2014-12-24,2087.56,2081.88,2081.86,2083.25,
2014-12-26,2092.7,2088.77,2084.3,2084.3,
2014-12-29,2093.55,2090.57,2085.75,2087.63,
2014-12-30,2088.49,2080.35,2079.53,2088.49,
2014-12-31,2085.58,2058.9,2057.94,2082.11,
2015-01-02,2072.36,2058.2,2046.04,2058.9,
2015-01-05,2054.44,2020.58,2017.34,2054.44,
2015-01-06,2030.25,2002.61,1992.44,2022.15,
2015-01-07,2029.61,2025.9,2005.55,2005.55,
2015-01-08,2064.08,2062.14,2030.61,2030.61,
2015-01-09,2064.43,2044.81,2038.33,2063.45,
2015-01-12,2049.3,2028.26,2022.58,2046.13,
2015-01-13,2056.93,2023.03,2008.25,2031.58,
2015-01-14,2018.4,2011.27,1988.44,2018.4,
2015-01-15,2021.35,1992.67,1991.47,2013.75,
2015-01-16,2020.46,2019.42,1988.12,1992.25,
2015-01-20,2028.94,2022.55,2004.49,2020.76,
2015-01-21,2038.29,2032.12,2012.04,2020.19,
2015-01-22,2064.62,2063.15,2026.38,2034.3,
2015-01-23,2062.98,2051.82,2050.54,2062.98,
