,window,ewm_window,sharpe_ratio
227,50,40,0.47090898265139336
228,50,45,0.44747603055841306
229,50,50,0.4527637902437632
230,50,55,0.45600780816641573
231,50,60,0.45171962760511364
232,50,65,0.45195821726433133
233,50,70,0.4561740636333102
234,50,75,0.4676468329513267
235,50,80,0.46519205831141114
236,50,85,0.46620140255324966
237,50,90,0.46594350706017423
238,50,95,0.47308504948077357
239,50,100,0.47252997457367285
240,50,105,0.47955985166673637
241,50,110,0.47931449569994533
242,50,115,0.4844013123419346
243,50,120,0.4832046693097745
244,50,125,0.48297554450525776
245,50,130,0.4832332789418824
246,50,135,0.4857590149646318
247,50,140,0.48178643726183573
248,50,145,0.4804270139629311
249,50,150,0.47799104839668144
250,50,155,0.47761997770594344
251,50,160,0.47923942057836694
252,50,165,0.48191664569849596
253,50,170,0.4791106458366524
254,50,175,0.48091477347310574
255,50,180,0.4814755595378456
256,50,185,0.48018264219375933
257,50,190,0.4837365508060791
258,50,195,0.4826023277094586
259,55,15,0.4736653139527385
260,55,20,0.4778712024985074
261,55,25,0.47201266650368523
262,55,30,0.4711222679590072
263,55,35,0.4589888638917288
264,55,40,0.46548927667524215
265,55,45,0.4632199706615962
266,55,50,0.4513362126131996
267,55,55,0.4564601466303532
268,55,60,0.4570033817365222
269,55,65,0.45811224652834437
270,55,70,0.4556555383400428
271,55,75,0.46486047588162455
272,55,80,0.46590088472170155
273,55,85,0.4639349226090973
274,55,90,0.46940783222727656
275,55,95,0.47071176580588964
276,55,100,0.4711933886719644
277,55,105,0.4792391619889661
278,55,110,0.4772509814176453
279,55,115,0.4758187979975343
280,55,120,0.48548860560568863
281,55,125,0.48146648263036623
282,55,130,0.4833012431481549
283,55,135,0.48266832529830916
284,55,140,0.48201836963990996
285,55,145,0.4806220174637028
286,55,150,0.4808382972996421
287,55,155,0.48078336716555753
288,55,160,0.47757563154849064
289,55,165,0.4799697465899346
290,55,170,0.48130832199134377
291,55,175,0.4814468233976378
292,55,180,0.48124756523116136
293,55,185,0.4824704177435024
294,55,190,0.4826005908325829
295,55,195,0.4833038921872651
296,60,15,0.46304660638035394
297,60,20,0.46470812845761655
298,60,25,0.4590479809986708
299,60,30,0.4654432910491246
300,60,35,0.46596480896914816
301,60,40,0.4699112190963726
302,60,45,0.4574118264824778
303,60,50,0.4456072269710923
304,60,55,0.4513204389319306
305,60,60,0.44768272934154474
306,60,65,0.4477143635840341
307,60,70,0.4516456079271049
308,60,75,0.4479812762024248
309,60,80,0.4650366845454488
310,60,85,0.46398287043674125
311,60,90,0.46487592802058686
312,60,95,0.458535377485467
313,60,100,0.45909577312305144
314,60,105,0.4676668187027901
315,60,110,0.4676084107479974
316,60,115,0.46526414038091135
317,60,120,0.47244245507730276
318,60,125,0.4715460634520783
319,60,130,0.47029802184394165
320,60,135,0.4696026075572445
321,60,140,0.46973398574757275
322,60,145,0.4693407016095415
323,60,150,0.4687498072248215
324,60,155,0.46839667574365984
325,60,160,0.4695513334770981
326,60,165,0.47268640207692725
327,60,170,0.4726645043563319
328,60,175,0.47235268070360403
329,60,180,0.4715488768054618
330,60,185,0.472133778104778
331,60,190,0.4703211781728583
332,60,195,0.47232500133926364
333,65,15,0.4592721192535418
334,65,20,0.47007869038674305
335,65,25,0.46651127768660194
336,65,30,0.47730052041133914
337,65,35,0.46438437285257805
338,65,40,0.47615227460557563
339,65,45,0.47148941894230845
340,65,50,0.4661395940270683
341,65,55,0.4618580101913186
342,65,60,0.45541325967794405
343,65,65,0.455410299284777
344,65,70,0.4551872203928131
345,65,75,0.4656018479537945
346,65,80,0.4671071831949064
347,65,85,0.46185194316915323
348,65,90,0.47170515583840733
349,65,95,0.47196826684156445
350,65,100,0.4682911137141219
351,65,105,0.46903485906990966
352,65,110,0.4677620549934359
353,65,115,0.4683747884267998
354,65,120,0.4690830382531965
355,65,125,0.47489640278466233
356,65,130,0.4749459954377561
357,65,135,0.4748122103353799
